10.000s | tick 10368 | track 1 | ch 1 | Note On A6 (93) vel 36
10.000s | tick 10368 | track 1 | ch 1 | Note On E5 (76) vel 30
10.093s | tick 10464 | track 1 | ch 1 | Note Off E5 (76) vel 0
10.093s | tick 10464 | track 1 | ch 1 | Note Off A6 (93) vel 0
10.093s | tick 10464 | track 1 | ch 1 | Note On E6 (88) vel 36
10.093s | tick 10464 | track 1 | ch 1 | Note On C5 (72) vel 30
10.185s | tick 10560 | track 1 | ch 1 | Note Off C5 (72) vel 0
10.185s | tick 10560 | track 1 | ch 1 | Note Off E6 (88) vel 0
10.185s | tick 10560 | track 1 | ch 1 | Note On C5 (72) vel 24
10.185s | tick 10560 | track 1 | ch 1 | Note On C6 (84) vel 36
10.278s | tick 10656 | track 1 | ch 1 | Note Off C6 (84) vel 0
10.278s | tick 10656 | track 1 | ch 1 | Note Off C5 (72) vel 0
10.278s | tick 10656 | track 1 | ch 1 | Note On A5 (81) vel 36
10.370s | tick 10752 | track 1 | ch 1 | Note Off A5 (81) vel 0
10.370s | tick 10752 | track 1 | ch 1 | Note Off E4 (64) vel 0
10.370s | tick 10752 | track 1 | ch 1 | Note Off C4 (60) vel 0
10.370s | tick 10752 | track 1 | ch 1 | Note Off A4 (69) vel 0
10.370s | tick 10752 | track 1 | ch 1 | Note Off A2 (45) vel 0
10.370s | tick 10752 | track 1 | ch 1 | Note Off A1 (33) vel 0
10.370s | tick 10752 | track 1 | ch 1 | Note On F5 (77) vel 31
10.370s | tick 10752 | track 1 | ch 1 | Note On F2 (41) vel 34
10.370s | tick 10752 | track 1 | ch 1 | Note On F3 (53) vel 28
10.370s | tick 10752 | track 1 | ch 1 | Note On C4 (60) vel 26
10.370s | tick 10752 | track 1 | ch 1 | Note On F4 (65) vel 26
10.370s | tick 10752 | track 1 | ch 1 | Note On G#4 (68) vel 26
10.370s | tick 10752 | track 1 | ch 1 | Note On C2 (36) vel 37
10.424s | tick 10808 | track 1 | ch 1 | Note On C#2 (37) vel 37
10.463s | tick 10848 | track 1 | ch 1 | Note Off C2 (36) vel 0
10.463s | tick 10848 | track 1 | ch 1 | Note Off F5 (77) vel 0
10.463s | tick 10848 | track 1 | ch 1 | Note On C5 (72) vel 32
10.475s | tick 10860 | track 1 | ch 1 | Note On D#2 (39) vel 37
10.516s | tick 10903 | track 1 | ch 1 | Note Off C#2 (37) vel 0
10.528s | tick 10915 | track 1 | ch 1 | Note On F2 (41) vel 37
10.555s | tick 10943 | track 1 | ch 1 | Note Off C5 (72) vel 0
10.555s | tick 10943 | track 1 | ch 1 | Note On F4 (65) vel 34
10.566s | tick 10955 | track 1 | ch 1 | Note Off D#2 (39) vel 0
10.581s | tick 10970 | track 1 | ch 1 | Note On G2 (43) vel 37
10.619s | tick 11010 | track 1 | ch 1 | Note Off F2 (41) vel 0
10.635s | tick 11026 | track 1 | ch 1 | Note On G#2 (44) vel 37
10.646s | tick 11038 | track 1 | ch 1 | Note Off F4 (65) vel 0
10.646s | tick 11038 | track 1 | ch 1 | Note On G#4 (68) vel 35
10.673s | tick 11066 | track 1 | ch 1 | Note Off G2 (43) vel 0
10.685s | tick 11078 | track 1 | ch 1 | Note On A#2 (46) vel 37
10.727s | tick 11122 | track 1 | ch 1 | Note Off G#2 (44) vel 0
10.739s | tick 11134 | track 1 | ch 1 | Note Off G#4 (68) vel 0
10.739s | tick 11134 | track 1 | ch 1 | Note On F4 (65) vel 35
10.739s | tick 11134 | track 1 | ch 1 | Note On C3 (48) vel 36
10.777s | tick 11174 | track 1 | ch 1 | Note Off A#2 (46) vel 0
10.792s | tick 11189 | track 1 | ch 1 | Note On C#3 (49) vel 35
10.830s | tick 11229 | track 1 | ch 1 | Note Off C3 (48) vel 0
10.830s | tick 11229 | track 1 | ch 1 | Note Off F4 (65) vel 0
10.830s | tick 11229 | track 1 | ch 1 | Note On G#4 (68) vel 38
10.846s | tick 11245 | track 1 | ch 1 | Note On D#3 (51) vel 34
10.883s | tick 11284 | track 1 | ch 1 | Note Off C#3 (49) vel 0
10.895s | tick 11296 | track 1 | ch 1 | Note On F3 (53) vel 33
10.922s | tick 11324 | track 1 | ch 1 | Note Off G#4 (68) vel 0
10.922s | tick 11324 | track 1 | ch 1 | Note On F5 (77) vel 38
10.937s | tick 11340 | track 1 | ch 1 | Note Off D#3 (51) vel 0
10.949s | tick 11352 | track 1 | ch 1 | Note On G3 (55) vel 33
10.988s | tick 11392 | track 1 | ch 1 | Note Off F3 (53) vel 0
11.003s | tick 11408 | track 1 | ch 1 | Note On G#3 (56) vel 33
11.015s | tick 11420 | track 1 | ch 1 | Note Off F5 (77) vel 0
11.015s | tick 11420 | track 1 | ch 1 | Note On C6 (84) vel 38
11.042s | tick 11448 | track 1 | ch 1 | Note Off G3 (55) vel 0
11.057s | tick 11464 | track 1 | ch 1 | Note On A#3 (58) vel 33
11.096s | tick 11504 | track 1 | ch 1 | Note Off G#3 (56) vel 0
11.107s | tick 11516 | track 1 | ch 1 | Note Off C6 (84) vel 0
11.107s | tick 11516 | track 1 | ch 1 | Note On G#5 (80) vel 38
11.107s | tick 11516 | track 1 | ch 1 | Note On C4 (60) vel 33
11.150s | tick 11560 | track 1 | ch 1 | Note Off A#3 (58) vel 0
11.161s | tick 11572 | track 1 | ch 1 | Note On C#4 (61) vel 33
11.200s | tick 11612 | track 1 | ch 1 | Note Off C4 (60) vel 0
11.200s | tick 11612 | track 1 | ch 1 | Note Off G#5 (80) vel 0
11.200s | tick 11612 | track 1 | ch 1 | Note On F5 (77) vel 38
11.215s | tick 11628 | track 1 | ch 1 | Note On D#4 (63) vel 33
11.253s | tick 11667 | track 1 | ch 1 | Note Off C#4 (61) vel 0
11.268s | tick 11683 | track 1 | ch 1 | Note On F4 (65) vel 34
11.291s | tick 11707 | track 1 | ch 1 | Note Off F5 (77) vel 0
11.291s | tick 11707 | track 1 | ch 1 | Note On C6 (84) vel 38
11.307s | tick 11723 | track 1 | ch 1 | Note Off D#4 (63) vel 0
11.318s | tick 11735 | track 1 | ch 1 | Note On G4 (67) vel 34
11.361s | tick 11779 | track 1 | ch 1 | Note Off F4 (65) vel 0
11.372s | tick 11791 | track 1 | ch 1 | Note On G#4 (68) vel 35
11.384s | tick 11803 | track 1 | ch 1 | Note Off C6 (84) vel 0
11.384s | tick 11803 | track 1 | ch 1 | Note On G#5 (80) vel 38
11.411s | tick 11831 | track 1 | ch 1 | Note Off G4 (67) vel 0
11.426s | tick 11847 | track 1 | ch 1 | Note On A#4 (70) vel 35
11.465s | tick 11887 | track 1 | ch 1 | Note Off G#4 (68) vel 0
11.477s | tick 11899 | track 1 | ch 1 | Note Off G#5 (80) vel 0
11.477s | tick 11899 | track 1 | ch 1 | Note On F6 (89) vel 38
11.481s | tick 11903 | track 1 | ch 1 | Note On C5 (72) vel 36
11.519s | tick 11943 | track 1 | ch 1 | Note Off A#4 (70) vel 0
11.531s | tick 11955 | track 1 | ch 1 | Note On C#5 (73) vel 36
11.569s | tick 11995 | track 1 | ch 1 | Note Off F6 (89) vel 0
11.569s | tick 11995 | track 1 | ch 1 | Note On C6 (84) vel 38
11.573s | tick 11999 | track 1 | ch 1 | Note Off C5 (72) vel 0
11.585s | tick 12011 | track 1 | ch 1 | Note On D#5 (75) vel 36
11.622s | tick 12050 | track 1 | ch 1 | Note Off C#5 (73) vel 0
11.638s | tick 12066 | track 1 | ch 1 | Note On F5 (77) vel 37
11.661s | tick 12090 | track 1 | ch 1 | Note Off C6 (84) vel 0
11.661s | tick 12090 | track 1 | ch 1 | Note On G#5 (80) vel 38
11.676s | tick 12106 | track 1 | ch 1 | Note Off D#5 (75) vel 0
11.691s | tick 12121 | track 1 | ch 1 | Note On G5 (79) vel 37
11.729s | tick 12161 | track 1 | ch 1 | Note Off F5 (77) vel 0
11.741s | tick 12173 | track 1 | ch 1 | Note On G#5 (80) vel 38
